time	V(vid)	V(vodn)	V(vodp)
1.246634375074786e-003	1.499665e-001	6.494470e-001	8.972086e+000
1.251517187574786e-003	1.499932e-001	6.494057e-001	8.972115e+000
1.256400000074786e-003	1.498787e-001	6.495858e-001	8.971992e+000
1.261282812574786e-003	1.496232e-001	6.499891e-001	8.971715e+000
1.266165625074786e-003	1.492269e-001	6.506199e-001	8.971280e+000
1.271048437574786e-003	1.486901e-001	6.514844e-001	8.970680e+000
1.275931250074785e-003	1.480134e-001	6.525919e-001	8.969907e+000
1.280814062574785e-003	1.471974e-001	6.539543e-001	8.968946e+000
1.285696875074785e-003	1.462428e-001	6.555865e-001	8.967785e+000
1.290579687574785e-003	1.451506e-001	6.575068e-001	8.966401e+000
1.295462500074785e-003	1.439218e-001	6.597378e-001	8.964774e+000
1.300345312574785e-003	1.425576e-001	6.623061e-001	8.962876e+000
1.305228125074785e-003	1.410591e-001	6.652438e-001	8.960674e+000
1.310110937574785e-003	1.394279e-001	6.685890e-001	8.958128e+000
1.314993750074785e-003	1.376655e-001	6.723866e-001	8.955194e+000
1.319876562574785e-003	1.357736e-001	6.766900e-001	8.951817e+000
1.324759375074784e-003	1.337538e-001	6.815621e-001	8.947931e+000
1.329642187574784e-003	1.316081e-001	6.870770e-001	8.943463e+000
1.334525000074784e-003	1.293386e-001	6.933226e-001	8.938324e+000
1.339407812574784e-003	1.269474e-001	7.004021e-001	8.932407e+000
1.344290625074784e-003	1.244366e-001	7.084378e-001	8.925590e+000
1.349173437574784e-003	1.218088e-001	7.175736e-001	8.917727e+000
1.354056250074784e-003	1.190663e-001	7.279797e-001	8.908644e+000
1.358939062574784e-003	1.162118e-001	7.398567e-001	8.898140e+000
1.363821875074784e-003	1.132479e-001	7.534415e-001	8.885976e+000
1.368704687574784e-003	1.101774e-001	7.690132e-001	8.871869e+000
1.373587500074783e-003	1.070032e-001	7.869008e-001	8.855489e+000
1.378470312574783e-003	1.037283e-001	8.074911e-001	8.836445e+000
1.383353125074783e-003	1.003557e-001	8.312386e-001	8.814279e+000
1.388235937574783e-003	9.688874e-002	8.586755e-001	8.788454e+000
1.393118750074783e-003	9.333058e-002	8.904234e-001	8.758346e+000
1.398001562574783e-003	8.968457e-002	9.272050e-001	8.723227e+000
1.402884375074783e-003	8.595415e-002	9.698566e-001	8.682254e+000
1.407767187574783e-003	8.214284e-002	1.019340e+000	8.634461e+000
1.412650000074783e-003	7.825421e-002	1.076751e+000	8.578746e+000
1.417532812574782e-003	7.429194e-002	1.143328e+000	8.513862e+000
1.422415625074782e-003	7.025974e-002	1.220452e+000	8.438419e+000
1.427298437574782e-003	6.616142e-002	1.309641e+000	8.350893e+000
1.432181250074782e-003	6.200083e-002	1.412532e+000	8.249638e+000
1.437064062574782e-003	5.778189e-002	1.530844e+000	8.132921e+000
1.441946875074782e-003	5.350856e-002	1.666335e+000	7.998976e+000
1.446829687574782e-003	4.918487e-002	1.820720e+000	7.846075e+000
1.451712500074782e-003	4.481490e-002	1.995582e+000	7.672625e+000
1.456595312574782e-003	4.040274e-002	2.192252e+000	7.477281e+000
1.461478125074782e-003	3.595256e-002	2.411671e+000	7.259090e+000
1.466360937574781e-003	3.146854e-002	2.654252e+000	7.017628e+000
1.471243750074781e-003	2.695491e-002	2.919735e+000	6.753143e+000
1.476126562574781e-003	2.241590e-002	3.207075e+000	6.466671e+000
1.481009375074781e-003	1.785580e-002	3.514363e+000	6.160109e+000
