time	V(vid)	V(vod1)	V(vod2)
1.129446875074789e-003	1.089878e-001	1.563962e+000	8.132322e+000
1.134329687574788e-003	1.120979e-001	1.501913e+000	8.193563e+000
1.139212500074788e-003	1.151025e-001	1.444523e+000	8.250141e+000
1.144095312574788e-003	1.179987e-001	1.391606e+000	8.302246e+000
1.148978125074788e-003	1.207840e-001	1.342960e+000	8.350083e+000
1.153860937574788e-003	1.234555e-001	1.298371e+000	8.393870e+000
1.158743750074788e-003	1.260108e-001	1.257619e+000	8.433832e+000
1.163626562574788e-003	1.284476e-001	1.220480e+000	8.470196e+000
1.168509375074788e-003	1.307634e-001	1.186733e+000	8.503188e+000
1.173392187574788e-003	1.329562e-001	1.156156e+000	8.533033e+000
1.178275000074788e-003	1.350239e-001	1.128538e+000	8.559947e+000
1.183157812574787e-003	1.369645e-001	1.103676e+000	8.584136e+000
1.188040625074787e-003	1.387761e-001	1.081377e+000	8.605795e+000
1.192923437574787e-003	1.404572e-001	1.061461e+000	8.625107e+000
1.197806250074787e-003	1.420060e-001	1.043762e+000	8.642243e+000
1.202689062574787e-003	1.434212e-001	1.028127e+000	8.657358e+000
1.207571875074787e-003	1.447015e-001	1.014417e+000	8.670591e+000
1.212454687574787e-003	1.458455e-001	1.002510e+000	8.682068e+000
1.222220312574787e-003	1.477208e-001	9.836807e-001	8.700184e+000
1.231985937574786e-003	1.490402e-001	9.709360e-001	8.712420e+000
1.241751562574786e-003	1.497986e-001	9.637921e-001	8.719270e+000
1.251517187574786e-003	1.499932e-001	9.619754e-001	8.721009e+000
1.261282812574786e-003	1.496232e-001	9.654158e-001	8.717710e+000
1.271048437574786e-003	1.486901e-001	9.742455e-001	8.709239e+000
1.280814062574785e-003	1.471974e-001	9.888018e-001	8.695251e+000
1.285696875074785e-003	1.462428e-001	9.983907e-001	8.686024e+000
1.290579687574785e-003	1.451506e-001	1.009635e+000	8.675189e+000
1.295462500074785e-003	1.439218e-001	1.022637e+000	8.662643e+000
1.300345312574785e-003	1.425576e-001	1.037516e+000	8.648266e+000
1.305228125074785e-003	1.410591e-001	1.054404e+000	8.631923e+000
1.310110937574785e-003	1.394279e-001	1.073448e+000	8.613463e+000
1.314993750074785e-003	1.376655e-001	1.094809e+000	8.592725e+000
1.319876562574785e-003	1.357736e-001	1.118662e+000	8.569529e+000
1.324759375074784e-003	1.337538e-001	1.145195e+000	8.543683e+000
1.329642187574784e-003	1.316081e-001	1.174608e+000	8.514987e+000
1.334525000074784e-003	1.293386e-001	1.207108e+000	8.483227e+000
1.339407812574784e-003	1.269474e-001	1.242914e+000	8.448182e+000
1.344290625074784e-003	1.244366e-001	1.282248e+000	8.409627e+000
1.349173437574784e-003	1.218088e-001	1.325333e+000	8.367334e+000
1.354056250074784e-003	1.190663e-001	1.372391e+000	8.321076e+000
1.358939062574784e-003	1.162118e-001	1.423638e+000	8.270634e+000
1.363821875074784e-003	1.132479e-001	1.479283e+000	8.215796e+000
1.368704687574784e-003	1.101774e-001	1.539517e+000	8.156364e+000
1.373587500074783e-003	1.070032e-001	1.604516e+000	8.092163e+000
1.378470312574783e-003	1.037283e-001	1.674433e+000	8.023032e+000
1.388235937574783e-003	9.688874e-002	1.829503e+000	7.869490e+000
1.398001562574783e-003	8.968457e-002	2.005395e+000	7.695048e+000
1.407767187574783e-003	8.214284e-002	2.202260e+000	7.499534e+000
1.417532812574782e-003	7.429194e-002	2.419713e+000	7.283315e+000
1.427298437574782e-003	6.616142e-002	2.656855e+000	7.047284e+000
1.441946875074782e-003	5.350856e-002	3.046373e+000	6.659180e+000
1.456595312574782e-003	4.040274e-002	3.470770e+000	6.235886e+000
1.462873214360496e-003	3.465196e-002	3.663272e+000	6.043761e+000
1.469151116146210e-003	2.886991e-002	3.858299e+000	5.849052e+000
1.475429017931924e-003	2.305657e-002	4.055851e+000	5.651761e+000
1.481706919717638e-003	1.721196e-002	4.255930e+000	5.451886e+000
1.487984821503352e-003	1.133608e-002	4.458533e+000	5.249428e+000
1.494262723289067e-003	5.428914e-003	4.663663e+000	5.044387e+000
1.500540625074781e-003	-5.095262e-004	4.871318e+000	4.836763e+000
1.506818526860495e-003	-6.447155e-003	5.078876e+000	4.629180e+000
1.513096428646209e-003	-1.235194e-002	5.283727e+000	4.424244e+000
1.519374330431923e-003	-1.822388e-002	5.485872e+000	4.221957e+000
1.525652232217637e-003	-2.406297e-002	5.685312e+000	4.022317e+000
1.531930134003351e-003	-2.986922e-002	5.882045e+000	3.825326e+000
1.538208035789066e-003	-3.564263e-002	6.076072e+000	3.630983e+000
1.544485937574780e-003	-4.138319e-002	6.267392e+000	3.439287e+000
1.559134375074779e-003	-5.445933e-002	6.688407e+000	3.017167e+000
1.573782812574779e-003	-6.707446e-002	7.073725e+000	2.630425e+000
1.583548437574779e-003	-7.517550e-002	7.307678e+000	2.395351e+000
1.593314062574779e-003	-8.299360e-002	7.521697e+000	2.180083e+000
1.603079687574779e-003	-9.049933e-002	7.714944e+000	1.985468e+000
1.612845312574778e-003	-9.766445e-002	7.887111e+000	1.811835e+000
1.622610937574778e-003	-1.044620e-001	8.038427e+000	1.658973e+000
1.627493750074778e-003	-1.077148e-001	8.106481e+000	1.590125e+000
1.632376562574778e-003	-1.108663e-001	8.169637e+000	1.526164e+000
1.637259375074778e-003	-1.139135e-001	8.228058e+000	1.466932e+000
1.642142187574778e-003	-1.168534e-001	8.281928e+000	1.412249e+000
1.647025000074778e-003	-1.196834e-001	8.331446e+000	1.361919e+000
1.651907812574777e-003	-1.224007e-001	8.376827e+000	1.315733e+000
1.656790625074777e-003	-1.250028e-001	8.418291e+000	1.273473e+000
1.661673437574777e-003	-1.274873e-001	8.456067e+000	1.234916e+000
1.666556250074777e-003	-1.298517e-001	8.490381e+000	1.199839e+000
1.671439062574777e-003	-1.320940e-001	8.521460e+000	1.168020e+000
1.676321875074777e-003	-1.342120e-001	8.549520e+000	1.139244e+000
1.681204687574777e-003	-1.362036e-001	8.574775e+000	1.113303e+000
1.686087500074777e-003	-1.380670e-001	8.597423e+000	1.090001e+000
1.690970312574777e-003	-1.398005e-001	8.617653e+000	1.069153e+000
1.695853125074777e-003	-1.414025e-001	8.635640e+000	1.050586e+000
1.700735937574776e-003	-1.428713e-001	8.651546e+000	1.034142e+000
1.705618750074776e-003	-1.442057e-001	8.665515e+000	1.019678e+000
1.710501562574776e-003	-1.454043e-001	8.677680e+000	1.007064e+000
1.715384375074776e-003	-1.464661e-001	8.688158e+000	9.961848e-001
1.725150000074776e-003	-1.481753e-001	8.704445e+000	9.792445e-001
1.734915625074776e-003	-1.493268e-001	8.715023e+000	9.682212e-001
1.744681250074775e-003	-1.499162e-001	8.720320e+000	9.626949e-001
1.754446875074775e-003	-1.499415e-001	8.720551e+000	9.624535e-001
1.764212500074775e-003	-1.494023e-001	8.715723e+000	9.674876e-001
1.773978125074775e-003	-1.483009e-001	8.705644e+000	9.779903e-001
1.783743750074775e-003	-1.466412e-001	8.689902e+000	9.943619e-001
1.788626562574775e-003	-1.456040e-001	8.679723e+000	1.004932e+000
1.793509375074774e-003	-1.444297e-001	8.667875e+000	1.017218e+000
1.798392187574774e-003	-1.431195e-001	8.654245e+000	1.031331e+000
1.803275000074774e-003	-1.416745e-001	8.638705e+000	1.047399e+000
1.808157812574774e-003	-1.400963e-001	8.621111e+000	1.065562e+000
1.813040625074774e-003	-1.383861e-001	8.601305e+000	1.085976e+000
1.817923437574774e-003	-1.365458e-001	8.579113e+000	1.108810e+000
1.822806250074774e-003	-1.345769e-001	8.554352e+000	1.134248e+000
1.827689062574774e-003	-1.324814e-001	8.526821e+000	1.162484e+000
1.832571875074774e-003	-1.302612e-001	8.496313e+000	1.193724e+000
1.837454687574774e-003	-1.279183e-001	8.462608e+000	1.228181e+000
1.842337500074773e-003	-1.254551e-001	8.425485e+000	1.266077e+000
1.847220312574773e-003	-1.228738e-001	8.384714e+000	1.307634e+000
1.852103125074773e-003	-1.201769e-001	8.340069e+000	1.353077e+000
1.856985937574773e-003	-1.173669e-001	8.291327e+000	1.402623e+000
1.861868750074773e-003	-1.144464e-001	8.238272e+000	1.456485e+000
1.866751562574773e-003	-1.114182e-001	8.180700e+000	1.514861e+000
1.871634375074773e-003	-1.082851e-001	8.118426e+000	1.577934e+000
1.876517187574773e-003	-1.050501e-001	8.051285e+000	1.645867e+000
1.881400000074773e-003	-1.017163e-001	7.979132e+000	1.718798e+000
1.891165625074772e-003	-9.476458e-002	7.819370e+000	1.880067e+000
1.900931250074772e-003	-8.745622e-002	7.638599e+000	2.062259e+000
1.910696875074772e-003	-7.981870e-002	7.436811e+000	2.265365e+000
1.920462500074772e-003	-7.188077e-002	7.214533e+000	2.488842e+000
1.935110937574771e-003	-5.947621e-002	6.845095e+000	2.859837e+000
1.949759375074771e-003	-4.656818e-002	6.437339e+000	3.268841e+000
1.956037276860485e-003	-4.088644e-002	6.250803e+000	3.455817e+000
1.962315178646200e-003	-3.516354e-002	6.060896e+000	3.646105e+000
1.968593080431914e-003	-2.939949e-002	5.867619e+000	3.839706e+000
1.974870982217628e-003	-2.359427e-002	5.670972e+000	4.036620e+000
1.981148884003342e-003	-1.774789e-002	5.470954e+000	4.236847e+000
1.987426785789056e-003	-1.186035e-002	5.267565e+000	4.440386e+000
1.993704687574770e-003	-5.931645e-003	5.060806e+000	4.647238e+000
1.998587500074770e-003	-1.320428e-003	4.899927e+000	4.808151e+000
2.003470312574770e-003	3.281231e-003	4.739814e+000	4.968262e+000
2.008353125074770e-003	7.873333e-003	4.580469e+000	5.127570e+000
2.013235937574770e-003	1.245588e-002	4.421892e+000	5.286076e+000
2.018118750074770e-003	1.702886e-002	4.264082e+000	5.443780e+000
2.023001562574770e-003	2.159229e-002	4.107039e+000	5.600681e+000
2.027884375074770e-003	2.614616e-002	3.950764e+000	5.756780e+000
2.036952455431912e-003	3.457981e-002	3.663434e+000	6.043685e+000
2.046020535789055e-003	4.283596e-002	3.389535e+000	6.317039e+000
2.055088616146198e-003	5.091460e-002	3.129067e+000	6.576841e+000
2.064156696503340e-003	5.881572e-002	2.882030e+000	6.823092e+000
2.073224776860483e-003	6.653934e-002	2.648424e+000	7.055791e+000
2.082292857217626e-003	7.408545e-002	2.428248e+000	7.274939e+000
2.091360937574768e-003	8.145405e-002	2.221504e+000	7.480535e+000
2.101126562574768e-003	8.902455e-002	2.022716e+000	7.677979e+000
2.110892187574768e-003	9.625999e-002	1.844885e+000	7.854361e+000
2.120657812574768e-003	1.031331e-001	1.687911e+000	8.009804e+000
2.125540625074768e-003	1.064257e-001	1.617070e+000	8.079855e+000
2.130423437574767e-003	1.096181e-001	1.551172e+000	8.144953e+000
2.135306250074767e-003	1.127073e-001	1.490068e+000	8.205247e+000
2.140189062574767e-003	1.156905e-001	1.433588e+000	8.260914e+000
2.145071875074767e-003	1.185648e-001	1.381542e+000	8.312148e+000
2.149954687574767e-003	1.213274e-001	1.333724e+000	8.359158e+000
2.154837500074767e-003	1.239759e-001	1.289920e+000	8.402162e+000
2.159720312574767e-003	1.265077e-001	1.249909e+000	8.441385e+000
2.164603125074767e-003	1.289205e-001	1.213467e+000	8.477057e+000
